Rank,Name,Points
628,Testudo1111,"18,846"
629,driverseati,"18,831"
630,Stewburtx8,"18,827"
631,Jah4371,"18,800"
632,James23,"18,767"
633,Thest0ne41,"18,766"
634,docpoetry,"18,762"
635,DDEVARON,"18,752"
636,nicholsan,"18,719"
637,mh726,"18,693"
638,abkessel1,"18,677"
639,solt22,"18,665"
640,captainseamus,"18,657"
641,The_Dean221,"18,601"
642,randlan,"18,592"
643,m3deman,"18,587"
644,nolaplayer,"18,545"
645,terribad,"18,503"
646,PatJZ80,"18,492"
647,18birdies,"18,466"
648,pacer314,"18,464"
649,vasava,"18,452"
650,redsox2roll,"18,444"
651,Kruzdog,"18,439"
652,dfsraani,"18,407"
653,OrdaNation,"18,376"
654,Dabears8504,"18,355"
655,thewildbuffalo,"18,354"
656,md2020wolverine,"18,345"
657,kevdudz,"18,345"
658,SWPitcher42,"18,334"
659,jcrowlonghorn,"18,311"
660,marv1906,"18,306"
661,JHubs,"18,287"
662,FantasyAlarm,"18,236"
663,jpwilkie,"18,217"
664,Mtom347,"18,215"
665,czaz,"18,215"
666,seth37iso,"18,211"
667,deadphish,"18,206"
668,coear,"18,180"
669,PapaTbama,"18,174"
670,Wieties49,"18,135"
671,Joebres38,"18,134"
672,filobeddo,"18,126"
673,gneiffer07,"18,120"
674,bohicabuddy,"18,082"
675,Sloves,"18,079"
676,andrewhansen30,"18,066"
677,k3v1n,"18,048"
678,osuryanf,"18,044"
679,bwilddd,"18,004"
680,mrplow01,"18,002"
681,showcase04,"18,002"
682,browski8,"18,001"
683,lister01,"17,954"
684,rbkiddiii,"17,953"
685,jyg1977,"17,948"
686,mrcpuguru,"17,945"
687,sasmallen,"17,922"
688,msouza706,"17,921"
689,epeng,"17,906"
690,Bkrunk,"17,895"
691,Sprizouse,"17,888"
692,iggydash,"17,885"
693,jthayesjr,"17,877"
694,reprisal,"17,857"
695,jonesinforwins,"17,850"
696,fish72292,"17,828"
697,insanity31,"17,805"
698,billsfan777,"17,796"
699,buzzsports,"17,772"
700,bennyv77,"17,762"
701,microy01,"17,732"
702,msidla,"17,716"
703,trammal11,"17,691"
704,Kevina26,"17,602"
705,SynZin,"17,585"
706,Morty33,"17,547"
707,gary8700,"17,531"
708,bertminatti,"17,450"
709,dangerb407,"17,438"
710,elreycabrito,"17,411"
711,Kwatz,"17,397"
712,tweaker66,"17,393"
713,ngurob,"17,338"
714,Joemollymax,"17,337"
715,myboyblue55,"17,337"
716,packfan990,"17,320"
717,gjsmith9801,"17,314"
718,markaw4,"17,294"
719,williewalls,"17,282"
720,kman5299,"17,268"
721,rosetown1,"17,267"
722,ctufano9,"17,262"
723,skillzxiv,"17,236"
724,RFK213,"17,234"
725,dirksen,"17,201"
726,TheKid2430,"17,197"
727,slicedbread,"17,186"
728,dark_golem,"17,186"
729,DRC2828,"17,180"
730,Jup13,"17,154"
731,sylbester,"17,141"
732,Ajp37,"17,124"
733,thepocket,"17,104"
734,phunk98,"17,088"
735,craigbengel13,"17,082"
736,kroto,"17,041"
737,fathersasquatch,"17,034"
738,Deiner10,"17,007"
739,dowjones206,"16,994"
740,pettitm,"16,992"
741,lggarruto,"16,992"
742,benjilyons,"16,978"
743,curryburrito,"16,959"
744,foppertman86,"16,947"
745,whateverworks_187,"16,933"
746,joelexa7,"16,884"
747,Jdizzy007,"16,861"
748,theheaters,"16,850"
749,thechamp,"16,817"
750,gcone8,"16,808"
751,Okcmo2003,"16,803"
752,shawn9811,"16,788"
753,djiz1010,"16,778"
754,minimeat,"16,757"
755,Mlarsen13,"16,755"
756,hondizzle,"16,752"
757,bipper2727,"16,727"
758,Clubber62,"16,709"
759,Ncstyle23,"16,680"
760,kcm1803,"16,618"
761,tmarohl,"16,615"
762,garybmw,"16,611"
763,cullyp81,"16,601"
764,mrdoft,"16,589"
765,bigskings,"16,575"
766,allduke11,"16,548"
767,crclngthdrn,"16,535"
768,ddsarkilahti,"16,530"
769,booyah72,"16,510"
770,suntzujim,"16,495"
771,DanTos22,"16,495"
772,joonbae,"16,464"
773,haamwow,"16,463"
774,Cameron,"16,455"
775,pkanan182,"16,419"
776,eae2106,"16,411"
777,whatalegend,"16,402"
778,manoftroy,"16,376"
779,huitcinq,"16,372"
780,ramster329,"16,349"
781,ZAPIAIN,"16,343"
782,poorecolin,"16,329"
783,NLFF,"16,263"
784,VPsNamedDickSuck,"16,234"
785,Mike5754,"16,234"
786,playinghayden,"16,233"
787,706813cp,"16,229"
788,kevostro1,"16,227"
789,hattrick8810,"16,217"
790,boatsandhoes82,"16,173"
791,Triton24,"16,169"
792,GolfCoach,"16,167"
